precision,recall,threshold
0.3420475319926874,1.0,0.4982116
0.3420074349442379,0.9998218421521468,0.49821165
0.34196733300828863,0.9996436843042936,0.4982117
0.34198817577863105,0.9996436843042936,0.4982119
0.34194806778008047,0.9994655264564404,0.4982122
0.34196891191709844,0.9994655264564404,0.49821243
0.3419287978541819,0.9992873686085872,0.4982126
0.3418886789002012,0.999109210760734,0.49821272
0.34184855505426165,0.9989310529128808,0.49821278
0.34176829268292686,0.9985747372171744,0.4982129
0.34168801073301625,0.998218421521468,0.49821296
0.3416478624138562,0.9980402636736149,0.49821302
0.3415883859948762,0.9976839479779084,0.49821314
0.3413875160168406,0.9967931587386424,0.49821332
0.3413473273126678,0.9966150008907892,0.49821338
0.3412267317668599,0.9960805273472296,0.49821344
0.3410866910866911,0.9953678959558169,0.4982135
0.34104646193296295,0.9951897381079636,0.49821356
0.34100622786665036,0.9950115802601105,0.49821362
0.3408271733154133,0.9939426331729913,0.49821368
0.34074662430500396,0.9935863174772849,0.49821374
0.34056598007456756,0.9926955282380189,0.4982138
0.3403240599205136,0.9916265811508997,0.49821386
0.34006239677004957,0.9903794762159273,0.49821392
0.3399412628487518,0.9898450026723677,0.49821398
0.3392758684065429,0.9866381614110101,0.49821404
0.33899240009806325,0.9853910564760378,0.4982141
0.33842567028652065,0.9827186887582398,0.49821416
0.3378569235492785,0.980224478888295,0.49821422
0.3371249385145106,0.9768394797790843,0.49821427
0.33673846153846154,0.9748797434526991,0.49821433
0.3355737806006043,0.9695350080171031,0.4982144
0.335,0.9668626402993051,0.49821445
0.33292025528223557,0.9572421165152325,0.4982145
0.33248573554949146,0.9551042223409941,0.49821457
0.3306733167082294,0.9449492250133619,0.49821463
0.33049840535301106,0.9415642259041511,0.4982147
0.3314245721193612,0.928024229467308,0.49821475
0.33311830731518516,0.9200071263139141,0.4982148
0.3397790055248619,0.8984500267236771,0.49821487
0.3417980749539218,0.892036344200962,0.49821493
0.3581810008990111,0.8517726705861394,0.498215
0.36250861474844936,0.843399251737039,0.49821505
0.3797103903802185,0.7988597897737395,0.4982151
0.39211136890951276,0.7828255834669517,0.49821517
0.4219925754991472,0.7493319080705505,0.49821523
0.428733498349835,0.7406021735257438,0.4982153
0.4715585203153426,0.6926777124532336,0.49821535
0.4839074679406588,0.6857295563869589,0.49821538
0.5245425501016555,0.6435061464457509,0.49821544
0.5521095717884131,0.6247995724211651,0.4982155
0.615355944837868,0.5882772136112596,0.49821556
0.651176948051948,0.5717085337609121,0.49821562
0.7243138207432597,0.5312667022982362,0.49821568
0.7406659939455096,0.5230714412969891,0.49821573
0.8044709388971684,0.48084803135578125,0.4982158
0.8146446078431373,0.4737217174416533,0.49821585
0.8395434709634105,0.44557277748084806,0.4982159
0.8484954513645906,0.432032781044005,0.49821597
0.8666413373860182,0.4063780509531445,0.49821603
0.87534516765286,0.3953322643862462,0.4982161
0.8882776132035548,0.37395332264386244,0.49821615
0.8901335631193451,0.36807411366470694,0.4982162
0.9021842355175689,0.33849991092107606,0.49821627
0.9040038591413411,0.33386780687689294,0.49821633
0.9091852620653866,0.31213254943880275,0.4982164
0.9084092126405999,0.3021557099590237,0.49821645
0.9126611957796014,0.2773917691074292,0.4982165
0.9118176364727054,0.2707999287368609,0.49821657
0.9190981432360743,0.24692677712453234,0.49821663
0.920462270564242,0.24122572599323,0.4982167
0.9186134137151469,0.21717441653304828,0.49821675
0.9184652278177458,0.20470336718332444,0.4982168
0.9200710479573713,0.18457153037591306,0.49821687
0.9219467401285583,0.17887047924461072,0.49821693
0.9232323232323232,0.1628362729378229,0.498217
0.9221991701244814,0.15838232674149297,0.49821705
0.9222737819025522,0.14163548904329235,0.4982171
0.9243697478991597,0.1371815428469624,0.49821717
0.9231788079470199,0.12417601995367895,0.49821723
0.9235127478753541,0.11615891680028505,0.49821728
0.9232,0.1027970782112952,0.49821734
0.9224283305227656,0.09745234277569927,0.4982174
0.9250936329588015,0.08800997683947978,0.49821746
0.925,0.0856939248173882,0.49821752
0.9230769230769231,0.07482629609834313,0.49821758
0.9211711711711712,0.07286655977195795,0.49821764
0.9253731343283582,0.06627471940138963,0.4982177
0.9228723404255319,0.06182077320505968,0.49821776
0.9171597633136095,0.05522893283449136,0.49821782
0.9197530864197531,0.053091038660252984,0.49821788
0.9131944444444444,0.046855513985391055,0.49821794
0.9145907473309609,0.04578656689827187,0.498218
0.9140625,0.04168893639764832,0.49821806
0.912,0.040619989310529125,0.49821812
0.9078341013824884,0.03509709602707999,0.49821818
0.9082125603864735,0.03349367539640121,0.49821824
0.9005847953216374,0.02743630856939248,0.4982183
0.9041916167664671,0.026901835025832887,0.49821836
0.8870967741935484,0.019597363263851773,0.49821842
0.8833333333333333,0.01888473187243898,0.49821848
0.8990825688073395,0.0174594690896134,0.49821854
0.91,0.016212364154641012,0.4982186
0.9066666666666666,0.012114733654017459,0.49821866
0.9076923076923077,0.010511313023338678,0.49821872
0.9166666666666666,0.007838945305540709,0.49821877
0.9318181818181818,0.007304471761981115,0.49821883
0.9166666666666666,0.005879208979155532,0.4982189
0.9117647058823529,0.005522893283449136,0.49821895
0.9,0.004810261892036344,0.498219
0.8928571428571429,0.004453946196329948,0.49821907
0.875,0.0037413148049171567,0.49821913
0.9090909090909091,0.0035631569570639585,0.4982192
0.8823529411764706,0.002672367717797969,0.49821925
0.8666666666666667,0.0023160520220915732,0.4982193
0.8571428571428571,0.002137894174238375,0.49821937
0.9090909090909091,0.0017815784785319793,0.49821943
0.9,0.0016034206306787815,0.49821952
0.8888888888888888,0.0014252627828255835,0.49821964
0.8333333333333334,0.0008907892392659896,0.49821976
0.8,0.0007126313914127917,0.49821982
0.75,0.0005344735435595938,0.49821994
0.6666666666666666,0.0003563156957063959,0.49822
0.5,0.00017815784785319794,0.49822053
1.0,0.00017815784785319794,0.49822083
